Fault,MAP,TPS,Force,Power,RPM,Consumption L/H,Consumption L/100KM,Speed,CO,HC,CO2,O2,Lambda,AFR
0,3.427,1.91,7.531,5.09,1168.262,2.849,11.679,26.175,0.456,191.693,14.268,1.071,1.032,15.167
0,3.427,1.91,7.41,5.282,1112.776,2.949,11.244,25.653,0.46,195.063,13.927,1.069,1.005,14.775
0,3.396,1.899,7.369,5.15,1141.541,2.916,11.517,25.049,0.463,192.631,14.359,1.097,1.064,15.635
0,3.396,1.889,7.381,5.168,1145.628,2.941,11.624,24.596,0.468,195.22,14.271,1.092,1.052,15.459
0,3.396,1.889,7.486,5.289,1141.945,2.922,11.727,24.732,0.484,192.712,14.084,1.063,1.011,14.859
0,3.396,1.879,7.46,5.232,1135.786,2.841,11.8,24.481,0.449,188.476,14.282,1.081,1.042,15.323
0,3.407,1.889,7.452,5.136,1208.102,2.933,11.635,25.371,0.458,195.214,14.336,1.089,1.054,15.49
0,3.407,1.889,7.182,5.213,1184.86,2.978,11.509,25.676,0.467,194.598,13.854,1.091,1.02,14.994
0,3.417,1.899,7.201,5.266,1159.128,2.919,11.717,25.254,0.451,196.372,14.073,1.076,1.022,15.023
0,3.417,1.91,7.355,5.325,1169.645,3.004,11.316,24.783,0.479,191.113,13.943,1.09,1.026,15.084
0,3.437,1.91,7.527,5.288,1148.419,2.907,11.347,24.758,0.456,200.701,14.017,1.051,0.994,14.617
0,3.427,1.91,7.483,5.217,1177.815,2.865,11.524,25.614,0.466,193.41,13.984,1.076,1.016,14.928
0,3.458,1.91,7.339,5.115,1229.523,2.947,11.482,23.574,0.452,193.298,13.68,1.079,0.997,14.65
0,3.458,1.91,7.396,5.131,1158.834,2.918,11.498,25.484,0.471,199.004,14.324,1.117,1.08,15.876
0,3.468,1.91,7.493,5.306,1195.51,2.948,11.683,25.126,0.467,196.138,14.848,1.084,1.087,15.976
0,3.468,1.91,7.522,5.007,1211.801,2.977,11.393,24.373,0.473,194.496,14.65,1.069,1.057,15.539
0,3.498,1.91,7.465,5.386,1146.254,2.848,11.353,24.726,0.464,190.659,14.491,1.112,1.088,15.987
0,3.488,1.91,7.681,5.238,1136.218,2.999,11.505,24.926,0.474,189.995,13.556,1.078,0.987,14.502
0,3.488,1.91,7.424,5.3,1204.372,2.87,11.199,24.67,0.482,189.082,14.471,1.071,1.046,15.376
0,3.498,1.899,7.455,5.208,1143.803,2.923,11.986,25.33,0.457,194.759,13.438,1.067,0.968,14.233
0,3.508,1.899,7.535,4.96,1166.236,2.892,12.197,26.11,0.475,200.555,14.134,1.08,1.031,15.153
0,3.478,1.869,7.257,5.162,1159.973,2.844,11.665,24.685,0.464,190.251,13.976,1.088,1.027,15.093
0,3.498,1.869,7.514,5.16,1143.414,2.844,12.081,24.739,0.476,195.392,14.556,1.104,1.085,15.946
0,3.529,1.879,7.549,5.247,1137.424,3.028,11.955,25.005,0.474,194.972,14.329,1.082,1.047,15.39
0,3.549,1.889,7.462,5.279,1212.377,2.91,11.716,24.884,0.471,191.614,15.061,1.06,1.078,15.845
0,3.57,1.889,7.639,5.033,1154.114,2.946,11.564,24.932,0.476,189.42,14.173,1.069,1.023,15.039
0,3.6,1.899,7.221,5.063,1166.95,2.882,11.517,24.953,0.464,196.458,13.783,1.048,0.975,14.334
0,3.61,1.899,7.303,5.306,1186.494,2.913,11.179,24.758,0.444,194.518,14.256,1.065,1.025,15.062
0,3.59,1.889,7.596,5.259,1165.251,2.882,11.975,24.618,0.485,191.048,13.983,1.098,1.036,15.233
0,3.58,1.889,7.585,5.215,1156.443,2.882,11.238,25.128,0.46,199.645,14.413,1.108,1.078,15.847
0,3.559,1.869,7.277,5.164,1176.154,2.838,11.75,25.019,0.469,195.138,13.954,1.088,1.025,15.072
0,3.549,1.869,7.36,5.232,1144.865,2.997,11.258,25.036,0.446,196.878,14.396,1.085,1.054,15.497
0,3.539,1.869,7.413,5.204,1183.072,2.952,11.926,24.136,0.471,192.735,14.6,1.113,1.097,16.12
0,3.539,1.879,7.24,5.033,1193.655,2.9,11.483,25.426,0.476,195.842,13.972,1.088,1.026,15.089
0,3.529,1.889,7.308,5.159,1186.9,2.917,11.331,25.376,0.471,187.272,13.795,1.096,1.021,15.011
0,3.508,1.889,7.369,5.138,1167.342,2.877,11.431,25.068,0.471,200.52,14.363,1.074,1.041,15.301
0,3.529,1.889,7.647,5.187,1138.675,2.931,10.875,25.206,0.463,189.211,13.965,1.098,1.035,15.216
0,3.508,1.879,7.395,5.043,1180.914,3.001,11.749,25.283,0.456,197.521,14.18,1.055,1.009,14.839
0,3.498,1.869,7.489,5.211,1150.617,2.851,11.29,24.756,0.466,192.77,14.057,1.119,1.062,15.616
0,3.498,1.879,7.495,5.287,1175.975,2.843,11.569,24.419,0.478,192.879,14.314,1.077,1.041,15.305
0,3.488,1.899,7.505,5.23,1152.954,2.812,11.705,23.449,0.471,192.984,14.048,1.099,1.042,15.319
0,3.488,1.91,7.149,5.229,1115.635,2.874,11.289,24.408,0.48,196.541,14.437,1.056,1.03,15.135
0,3.478,1.899,7.364,5.25,1158.022,2.908,11.522,26.497,0.475,193.055,14.056,1.084,1.029,15.121
0,3.458,1.899,7.512,5.131,1114.412,2.965,11.742,25.237,0.457,195.191,14.176,1.068,1.022,15.025
0,3.427,1.879,7.342,5.244,1135.024,2.88,11.896,25.531,0.475,191.864,14.023,1.072,1.015,14.917
0,3.427,1.869,7.695,5.173,1165.869,2.949,11.935,24.768,0.477,196.04,14.862,1.083,1.086,15.972
0,3.427,1.879,7.602,5.351,1164.971,2.812,11.39,25.041,0.474,201.569,14.412,1.059,1.031,15.15
0,3.437,1.848,7.645,5.145,1124.89,2.835,12.156,24.899,0.475,196.381,13.937,1.11,1.044,15.346
0,3.437,1.91,7.22,5.016,1143.136,2.872,11.982,25.491,0.461,189.948,14.443,1.082,1.055,15.513
0,3.427,1.91,7.324,5.097,1156.286,2.916,11.82,24.875,0.473,194.647,14.342,1.05,1.017,14.946
0,3.427,1.91,7.705,5.217,1161.113,2.923,11.768,25.812,0.474,199.095,14.032,1.042,0.987,14.512
0,3.427,1.91,7.452,5.262,1155.648,2.98,11.6,24.891,0.476,186.842,13.911,1.062,0.997,14.656
0,3.417,1.899,7.421,5.338,1169.46,2.872,11.509,24.944,0.476,186.763,14.513,1.051,1.029,15.133
0,3.386,1.889,7.683,5.165,1133.788,2.858,11.463,25.283,0.464,196.075,14.074,1.071,1.017,14.952
0,3.396,1.889,7.226,5.409,1148.225,2.955,11.861,25.366,0.469,194.909,13.973,1.056,0.996,14.645
0,3.407,1.899,7.32,5.099,1190.259,2.861,11.52,25.517,0.47,193.023,13.611,1.078,0.99,14.56
0,3.386,1.889,7.398,5.064,1177.675,2.906,11.684,25.296,0.463,192.133,13.392,1.104,0.998,14.67
0,3.396,1.899,7.231,5.096,1131.85,2.92,11.277,25.511,0.458,195.721,14.116,1.062,1.012,14.875
0,3.407,1.91,7.57,5.095,1160.619,2.958,11.73,24.631,0.47,197.543,13.616,1.071,0.984,14.465
0,3.407,1.91,7.653,5.166,1165.692,2.887,11.547,24.455,0.463,196.22,14.057,1.092,1.036,15.235
0,3.427,1.91,7.367,5.178,1145.932,2.918,11.606,24.635,0.467,196.73,13.926,1.071,1.007,14.798
0,3.437,1.91,7.356,5.071,1139.73,2.935,11.373,25.401,0.473,200.426,14.276,1.068,1.03,15.135
0,3.437,1.91,7.281,5.268,1184.523,2.923,11.764,24.044,0.476,200.267,14.028,1.068,1.012,14.874
0,3.447,1.91,7.452,5.219,1167.689,2.928,11.696,24.7,0.467,193.442,14.066,1.08,1.025,15.069
0,3.447,1.899,7.615,5.314,1139.585,2.895,11.827,24.776,0.475,187.612,13.937,1.079,1.015,14.922
0,3.437,1.91,7.611,5.267,1148.52,3.0,11.551,24.755,0.47,191.205,13.988,1.118,1.056,15.519
0,3.447,1.899,7.291,5.433,1203.482,2.859,11.406,24.928,0.469,191.966,14.081,1.063,1.01,14.854
0,3.447,1.899,7.633,5.284,1155.704,2.925,12.093,25.511,0.469,187.962,14.005,1.067,1.009,14.83
0,3.447,1.899,7.444,5.188,1170.243,2.884,11.9,24.451,0.46,196.021,13.774,1.051,0.977,14.364
0,3.468,1.899,7.483,5.197,1126.193,2.877,11.781,25.659,0.471,195.04,13.659,1.081,0.997,14.656
0,3.478,1.889,7.262,5.254,1141.732,2.964,11.585,24.768,0.462,192.686,14.059,1.125,1.068,15.698
0,3.508,1.899,7.496,5.188,1129.049,2.963,11.92,25.269,0.482,190.327,13.815,1.097,1.023,15.045
0,3.529,1.899,7.686,5.277,1184.82,2.865,12.05,25.667,0.474,194.196,13.983,1.078,1.018,14.964
0,3.427,1.879,7.666,5.337,1144.458,2.93,11.898,24.992,0.474,192.187,13.909,1.064,0.999,14.68
0,3.529,1.889,7.429,5.167,1137.629,2.845,11.67,26.006,0.473,192.036,14.028,1.081,1.024,15.051
0,3.539,1.889,7.302,5.117,1181.145,2.898,11.78,25.212,0.47,189.735,14.399,1.066,1.036,15.226
0,3.58,1.899,7.451,5.145,1114.14,2.943,11.744,25.648,0.478,197.042,13.175,1.083,0.964,14.165
0,3.6,1.899,7.585,5.152,1168.525,2.802,11.945,25.799,0.466,190.659,14.642,1.06,1.048,15.403
0,3.621,1.899,7.421,5.247,1155.647,2.875,11.481,25.424,0.464,195.17,13.865,1.067,0.999,14.688
0,3.6,1.899,7.539,5.137,1141.399,2.902,11.15,25.141,0.471,199.141,14.346,1.066,1.032,15.176
0,3.57,1.889,7.527,5.131,1152.476,2.815,11.907,24.901,0.477,197.14,13.988,1.106,1.044,15.347
0,3.539,1.879,7.703,5.088,1182.618,2.837,11.76,24.653,0.471,195.474,13.854,1.074,1.004,14.758
0,3.529,1.859,7.392,5.18,1140.437,2.938,11.679,25.724,0.458,190.985,14.382,1.054,1.024,15.049
0,3.549,1.869,7.615,5.171,1174.892,2.943,12.016,25.197,0.454,204.943,13.676,1.096,1.012,14.872
0,3.559,1.879,7.346,5.246,1166.69,2.893,11.544,25.601,0.473,193.929,13.84,1.055,0.986,14.491
0,3.539,1.889,7.46,5.188,1140.173,2.952,12.016,25.328,0.457,197.487,14.008,1.082,1.023,15.037
0,3.529,1.889,7.602,5.259,1156.892,2.926,12.093,24.729,0.476,196.442,14.299,1.103,1.065,15.655
0,3.519,1.889,7.388,5.086,1195.316,2.888,11.648,24.871,0.451,196.137,14.019,1.097,1.038,15.262
0,3.508,1.879,7.27,5.158,1148.84,2.979,11.385,24.528,0.471,199.567,14.407,1.058,1.029,15.132
0,3.478,1.869,7.754,5.211,1144.719,2.86,11.282,24.875,0.467,190.424,14.548,1.059,1.04,15.282
0,3.498,1.869,7.402,5.106,1159.043,2.873,11.577,25.105,0.485,192.252,13.896,1.069,1.003,14.741
0,3.488,1.93,7.315,5.041,1156.954,2.966,11.269,24.151,0.46,196.874,13.453,1.087,0.987,14.511
0,3.478,1.889,7.568,5.306,1158.236,2.971,11.419,25.426,0.465,195.05,14.382,1.08,1.048,15.407
0,3.488,1.899,7.607,5.255,1143.351,2.86,11.838,24.629,0.441,196.209,13.787,1.076,1.002,14.724
0,3.478,1.899,7.348,5.026,1154.752,3.02,11.731,24.333,0.469,196.583,13.519,1.082,0.988,14.519
0,3.447,1.889,7.548,5.237,1197.686,2.917,11.805,24.359,0.471,197.706,14.289,1.08,1.042,15.318
0,3.396,1.879,7.662,5.337,1134.55,2.998,11.926,25.046,0.452,198.141,14.001,1.079,1.02,14.997
0,3.417,1.879,7.369,5.196,1180.086,2.92,11.185,24.616,0.457,198.38,14.369,1.064,1.032,15.173
0,3.427,1.889,7.33,5.162,1172.385,2.904,11.263,24.901,0.481,193.475,14.433,1.085,1.057,15.539
0,3.437,1.899,7.494,5.175,1188.894,2.902,11.773,24.678,0.479,195.086,14.325,1.1,1.064,15.643
0,3.447,1.91,7.432,5.277,1170.617,2.872,11.757,24.678,0.438,197.902,13.716,1.092,1.011,14.867
0,3.437,1.91,7.63,5.042,1150.333,2.901,11.812,25.09,0.45,196.06,14.253,1.084,1.043,15.329
0,3.427,1.91,7.332,5.173,1128.654,2.833,11.783,24.971,0.482,190.375,14.054,1.08,1.025,15.066
0,3.407,1.899,7.515,5.236,1172.878,2.917,11.452,25.675,0.469,192.978,14.258,1.07,1.029,15.133
0,3.376,1.889,7.325,5.262,1210.141,2.875,11.773,25.503,0.471,193.26,13.807,1.079,1.006,14.786
0,3.386,1.879,7.712,5.227,1175.018,2.891,11.686,24.694,0.468,197.1,14.299,1.113,1.074,15.791
0,3.396,1.879,7.936,5.023,1149.409,2.885,11.543,25.146,0.47,198.469,14.252,1.057,1.017,14.943
0,3.396,1.91,7.729,5.316,1152.887,2.879,11.445,25.188,0.465,193.403,14.329,1.098,1.062,15.609
0,3.396,1.889,7.671,5.317,1174.111,2.979,11.61,24.431,0.469,194.958,14.502,1.072,1.049,15.424
0,3.396,1.899,7.72,5.164,1195.294,2.882,11.711,24.801,0.474,197.038,14.01,1.035,0.979,14.395
0,3.417,1.899,7.374,5.437,1167.431,2.805,11.666,24.762,0.463,189.441,14.452,1.083,1.057,15.531
0,3.407,1.899,7.371,5.221,1182.303,2.934,11.776,25.251,0.463,198.243,13.965,1.109,1.045,15.366
0,3.417,1.91,7.719,5.238,1115.576,2.876,11.365,25.082,0.456,191.806,14.28,1.086,1.047,15.389
0,3.417,1.91,7.422,5.314,1159.784,2.97,11.641,23.352,0.46,191.138,13.943,1.055,0.993,14.602
0,3.427,1.91,7.339,5.129,1176.073,3.055,12.212,24.824,0.459,192.896,14.114,1.094,1.042,15.323
0,3.437,1.899,7.621,5.161,1168.94,2.873,12.043,25.101,0.474,203.04,14.403,1.111,1.08,15.873
0,3.447,1.899,7.635,5.077,1154.257,2.843,11.917,24.473,0.47,195.437,14.259,1.063,1.023,15.037
0,3.447,1.889,7.496,5.306,1156.062,2.923,11.578,25.35,0.49,194.7,14.101,1.06,1.009,14.83
0,3.458,1.889,7.569,5.298,1138.635,2.909,11.578,24.987,0.458,192.416,14.053,1.072,1.017,14.952
0,3.458,1.899,7.529,5.249,1187.415,2.941,11.604,25.211,0.471,198.289,14.554,1.081,1.063,15.619
0,3.458,1.889,7.257,5.132,1202.658,2.899,11.799,25.716,0.467,196.923,14.002,1.108,1.047,15.394
0,3.478,1.889,7.599,5.199,1148.429,2.8,11.607,25.637,0.47,194.076,14.298,1.078,1.041,15.297
0,3.488,1.889,7.355,5.054,1181.878,2.967,11.595,25.182,0.482,197.488,14.232,1.059,1.018,14.961
0,3.519,1.899,7.403,5.153,1169.765,2.9,11.419,24.769,0.471,196.26,14.373,1.073,1.041,15.308
0,3.498,1.879,7.586,5.207,1191.649,2.918,11.202,24.882,0.466,189.778,14.425,1.106,1.077,15.839
0,3.519,1.889,7.579,5.183,1147.855,2.984,11.7,24.847,0.469,184.925,14.38,1.077,1.045,15.369
0,3.529,1.889,7.561,5.142,1171.113,2.897,11.691,25.437,0.482,195.195,13.976,1.079,1.018,14.97
0,3.559,1.899,7.319,5.27,1181.367,2.908,11.554,24.063,0.467,200.86,13.989,1.08,1.02,14.989
0,3.57,1.899,7.331,5.29,1140.869,2.992,11.491,25.585,0.465,193.407,14.101,1.05,0.999,14.692
0,3.6,1.91,7.352,5.175,1177.918,2.918,11.86,25.503,0.477,190.031,13.982,1.053,0.993,14.604
0,3.61,1.899,7.45,5.15,1157.213,2.934,12.029,24.457,0.488,194.434,14.594,1.053,1.038,15.253
0,3.6,1.889,7.537,5.224,1135.649,2.961,11.581,24.735,0.476,198.911,14.33,1.097,1.062,15.606
0,3.57,1.879,7.443,5.41,1184.741,2.925,12.114,25.362,0.457,200.565,14.28,1.086,1.047,15.387
0,3.559,1.869,7.364,5.404,1182.279,3.008,12.215,24.177,0.476,194.861,13.752,1.093,1.015,14.917
0,3.559,1.879,7.481,5.221,1109.049,2.948,11.322,25.975,0.465,198.251,13.753,1.102,1.023,15.043
0,3.559,1.879,7.658,5.298,1169.187,2.867,11.538,24.891,0.46,195.439,14.143,1.1,1.05,15.433
0,3.549,1.889,7.424,5.151,1171.814,2.913,11.606,25.374,0.459,195.923,14.75,1.089,1.084,15.939
0,3.529,1.889,7.294,5.284,1152.658,2.924,11.59,24.54,0.469,191.081,14.307,1.072,1.036,15.226
0,3.519,1.889,7.433,5.014,1190.503,2.981,11.951,25.06,0.471,192.979,14.058,1.045,0.991,14.571
0,3.519,1.889,7.397,5.249,1151.252,2.896,11.581,25.067,0.482,190.668,13.666,1.09,1.006,14.786
0,3.519,1.879,7.543,5.376,1138.533,2.945,11.72,25.083,0.486,197.682,13.766,1.115,1.036,15.235
0,3.508,1.859,7.408,5.255,1144.536,2.958,11.63,25.157,0.471,193.18,13.929,1.087,1.022,15.02
0,3.498,1.879,7.576,5.27,1167.934,3.018,11.911,25.83,0.472,190.762,14.164,1.054,1.007,14.809
0,3.498,1.899,7.441,5.225,1177.185,2.94,11.45,25.064,0.482,190.719,13.726,1.107,1.026,15.08
0,3.498,1.91,7.632,5.357,1141.605,2.956,11.739,24.714,0.475,189.422,14.206,1.088,1.043,15.339
0,3.478,1.899,7.476,5.183,1176.471,2.969,12.071,24.225,0.464,195.221,14.127,1.09,1.04,15.283
0,3.447,1.889,7.657,5.26,1157.31,2.83,11.566,24.384,0.462,191.041,13.766,1.086,1.009,14.83
0,3.417,1.889,7.525,5.14,1161.8,2.955,11.694,24.928,0.466,194.554,14.303,1.065,1.029,15.123
0,3.417,1.869,7.737,5.333,1141.368,2.892,11.731,24.735,0.471,191.911,14.259,1.108,1.066,15.677
0,3.417,1.879,7.645,5.102,1218.48,2.873,11.834,25.93,0.464,195.75,14.319,1.073,1.037,15.243
0,3.437,1.899,7.553,5.081,1196.48,2.933,11.291,23.99,0.474,198.249,14.175,1.07,1.023,15.045
0,3.437,1.899,7.529,5.184,1177.217,2.929,11.239,25.877,0.478,200.471,14.296,1.078,1.04,15.293
0,3.447,1.899,7.286,5.382,1142.683,3.001,11.808,24.996,0.479,204.406,14.072,1.085,1.031,15.149
0,3.437,1.899,7.407,5.24,1128.068,2.841,11.848,25.58,0.455,196.269,14.151,1.081,1.033,15.187
0,3.427,1.899,7.55,5.156,1154.948,2.994,11.544,24.635,0.472,190.637,13.708,1.078,0.997,14.659
0,3.396,1.889,7.222,5.163,1183.139,2.933,11.86,25.083,0.462,192.319,14.368,1.103,1.07,15.722
0,3.325,1.889,7.655,5.37,1138.972,2.823,11.628,25.353,0.477,189.08,14.581,1.081,1.064,15.636
0,3.376,1.869,7.305,5.208,1176.194,2.852,11.915,25.133,0.457,195.084,14.073,1.098,1.043,15.331
0,3.376,1.879,7.442,5.207,1154.195,2.997,11.458,25.441,0.472,190.954,13.821,1.041,0.971,14.28
0,3.396,1.889,7.379,5.082,1138.307,2.897,11.629,24.85,0.472,192.332,13.936,1.038,0.976,14.352
0,3.407,1.899,7.168,5.174,1179.649,2.957,11.627,25.922,0.46,194.174,13.791,1.1,1.024,15.05
0,3.407,1.91,7.527,5.129,1164.636,2.805,11.459,24.726,0.482,199.18,13.849,1.091,1.02,14.997
0,3.417,1.91,7.548,5.107,1159.456,2.895,11.494,25.211,0.454,190.461,13.807,1.079,1.006,14.788
0,3.427,1.91,7.481,5.149,1157.39,2.903,11.405,24.928,0.469,199.679,14.302,1.083,1.045,15.365
